record_num,id,precursor,title,authors,year,journal,doi
553,CN-02823693,NMN,"Evaluate the Safety, Tolerability, and Efficacy of UthPeak NMNH (Reduced Nicotinamide Mononucleotide) in Healthy Adult Participants","NCT06889740,",2025,https://clinicaltrials.gov/ct2/show/NCT06889740,
566,CN-02830688,NMN,Study on the relative bioavailability of liposome ß - nicotinamide mononucleotide,"ChiCTR2500096819,",2025,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2500096819,
571,CN-02766984,NMN,Investigate the Efficacy of Using NMN to Improve Embryo Development Capacity,"NCT06629636,",2024,https://clinicaltrials.gov/ct2/show/NCT06629636,
661,CN-02759156,NR,Acute impact of inorganic nitrate supplementation after ischemia and during small muscle mass exercise in postmenopausal females: a pilot study,"Caldwell, JT; Koenke, A; Zimmerman, L...",2024,Physiological reports,10.14814/phy2.70076
682,CN-02922754,NMN,Clinical study investigating the effects of NMN/garlic extract supplements on sleep,"JPRN-UMIN000059201,",2025,https://trialsearch.who.int/Trial2.aspx?TrialID=JPRN-UMIN000059201,
790,CN-02829483,NMN,"A planned clinical study at a single center will investigate the pharmacokinetics of NMN and NAM in healthy adults. This study will be interventional, involving a single dose, multiple arms, and will be randomized, open-label, and cross-over in design","CTRI/2025/03/083101,",2025,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2025/03/083101,
835,CN-02253340,NMN,To Evaluate the Efficacy and Safety of NMN as an Anti-ageing Supplement in Middle Aged and Older (40-65 Years) Adults,"NCT04823260,",2021,https://clinicaltrials.gov/show/NCT04823260,
836,CN-02871066,NMN,Nicotinamide Mmononucleotide in Patients Undergoing CABG Surgery,"NCT07013591,",2025,https://clinicaltrials.gov/ct2/show/NCT07013591,
851,CN-02184687,NMN,Study on health promotion by exercise nutrition intervention: a randomized controlled trial,"ChiCTR2000035138,",2020,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2000035138,
860,39661983,unclear,NAD+ metabolism restriction boosts high-dose melphalan efficacy in patients with multiple myeloma.,"Soncini, Debora; Becherini, Pamela; Ladisa, Francesco...",2025,Blood advances,https://dx.doi.org/10.1182/bloodadvances.2024013425
864,37364580,unclear,Nicotinamide Adenine Dinucleotide in Aging Biology: Potential Applications and Many Unknowns.,"Bhasin, Shalender; Seals, Douglas; Migaud, Marie...",2023,Endocrine reviews,https://dx.doi.org/10.1210/endrev/bnad019
934,WOS:001256220500001,NMN,Nicotinamide Mononucleotide Supplementation: Understanding Metabolic Variability and Clinical Implications,"Benjamin, C; Crews, R",2024,METABOLITES,10.3390/metabo14060341
936,WOS:001141896900001,NMN,"Safety and efficacy of long-term nicotinamide mononucleotide supplementation on metabolism, sleep, and nicotinamide adenine dinucleotide biosynthesis in healthy, middle-aged Japanese men","Yamaguchi, S; Irie, J; Mitsuishi, M...",2024,ENDOCRINE JOURNAL,10.1507/endocrj.EJ23-0431
938,WOS:000385540400001,NR,Nicotinamide riboside is uniquely and orally bioavailable in mice and humans,"Trammell, SAJ; Schmidt, MS; Weidemann, BJ...",2016,NATURE COMMUNICATIONS,10.1038/ncomms12948
940,WOS:000784891500005,NMN,"The role of nicotinamide mononucleotide (NMN) in anti-aging, longevity, and its potential for treating chronic conditions","Soma, M; Lalam, SK",2022,MOLECULAR BIOLOGY REPORTS,10.1007/s11033-022-07459-1
943,WOS:000769347500001,NMN,"Effect of 12-Week Intake of Nicotinamide Mononucleotide on Sleep Quality, Fatigue, and Physical Performance in Older Japanese Adults: A Randomized, Double-Blind Placebo-Controlled Study","Kim, M; Seol, J; Sato, T...",2022,NUTRIENTS,10.3390/nu14040755
948,WOS:001604050800001,NMN,Oral Supplementation of Nicotinamide Mononucleotide (NMN) Improves Hair Quality and Subjective Perception of Hair Appearance in Middle-Aged Women,"Fukumoto, S; Ito, M; Kunitomo, H...",2025,COSMETICS,10.3390/cosmetics12050204
949,WOS:001037141300007,NR,What is really known about the effects of nicotinamide riboside supplementation in humans,"Damgaard, MV; Treebak, JT",2023,SCIENCE ADVANCES,10.1126/sciadv.adi4862
950,WOS:001631606300001,NR,"Comparative efficacy of a standardized herbal composition LN22199, nicotinamide riboside, and their combination on NAD plus metabolism in healthy aging adults","Bandi, VK; Chundru, VK; Yarasani, A...",2025,JOURNAL OF FUNCTIONAL FOODS,10.1016/j.jff.2025.107115
954,WOS:001689847900001,both,Restoring NAD plus -Sirtuins Signaling: A Novel Approach to Combat Male Reproductive Aging,"Zhou, L; Lan, XC; Wang, MJ...",2026,WORLD JOURNAL OF MENS HEALTH,10.5534/wjmh.250248
